SettlementDate,Time,Demand
2/3/2022,21:00:00,35414
2/3/2022,21:05:00,35403
2/3/2022,21:10:00,34968
2/3/2022,21:15:00,34346
2/3/2022,21:20:00,33784
2/3/2022,21:25:00,33579
2/3/2022,21:30:00,33315
2/3/2022,21:35:00,33152
2/3/2022,21:40:00,32958
2/3/2022,21:45:00,32629
2/3/2022,21:50:00,32198
2/3/2022,21:55:00,31917
2/3/2022,22:00:00,31692
2/3/2022,22:05:00,31528
2/3/2022,22:10:00,31241
2/3/2022,22:15:00,30780
2/3/2022,22:20:00,30455
2/3/2022,22:25:00,30054
2/3/2022,22:30:00,29744
2/3/2022,22:35:00,29506
2/3/2022,22:40:00,29277
2/3/2022,22:45:00,28983
2/3/2022,22:50:00,28747
2/3/2022,22:55:00,28459
2/3/2022,23:00:00,28155
2/3/2022,23:05:00,27893
2/3/2022,23:10:00,27497
2/3/2022,23:15:00,27397
2/3/2022,23:20:00,27153
2/3/2022,23:25:00,26859
2/3/2022,23:30:00,26637
2/3/2022,23:35:00,26485
2/3/2022,23:40:00,26377
2/3/2022,23:45:00,26356
2/3/2022,23:50:00,26237
2/3/2022,23:55:00,26106
2/4/2022,0:00:00,25969
2/4/2022,0:05:00,25956
2/4/2022,0:10:00,25881
2/4/2022,0:15:00,25793
2/4/2022,0:20:00,25622
2/4/2022,0:25:00,25560
